image,mean_r,mean_g,mean_b,mean_l,mean_a,mean_b_lab,yellow_index,rg_ratio,rb_ratio,bg_ratio
AJ10_20240808_152222.jpg,131.4177449168207,113.03479868198987,107.65032548420798,123.60110102065418,134.28441694125212,133.69135256770875,133.69135256770875,1.1626308471952806,1.2207835239227012,0.9523644557876825
AJ10_20240808_152224.jpg,121.15203157650336,105.43334107267239,95.25655908985372,114.92194102623635,132.44736475504993,135.91674019038774,135.91674019038774,1.149086514709896,1.2718497441249499,0.9034766158147194
AJ10_20240808_152234.jpg,150.91046340265268,125.04136237104962,119.73214344195186,137.52873751432782,137.03635172752578,134.80510889143605,134.80510889143605,1.2068843407828074,1.260400572511391,0.9575402907808747
AJ10_20240808_152235.jpg,129.34236631191698,109.00118249901459,102.37199448167127,119.21278412823546,134.7276639075023,134.62091052424122,134.62091052424122,1.186614329862632,1.2634545776249375,0.9391824124790054
AJ10_20240808_152246.jpg,133.26032991672005,117.05148942985267,112.17761050608584,126.54460281870595,133.1952274183216,132.88476937860347,132.88476937860347,1.1384761477819978,1.1879405179659261,0.9583612314045017
AJ11_20240808_152529.jpg,127.04260563380282,100.58140845070423,90.71154929577465,113.1830985915493,137.0144366197183,137.60654929577464,137.60654929577464,1.2630823760335894,1.400511899747793,0.9018719243562909
AJ11_20240808_152533.jpg,106.28578651330342,82.6714908677242,61.449029893193455,93.36604942172787,134.35555836440625,143.47765910383617,143.47765910383617,1.2856401174344658,1.7296576523402327,0.7432916535667815
AJ11_20240808_152534.jpg,103.87919643336735,82.75517000590858,63.505774292313475,92.82150722457969,133.52774346027823,141.97137025299457,141.97137025299457,1.2552592807276122,1.6357440871356552,0.767393427146435
AJ11_20240808_152541.jpg,111.04321031131146,85.673017326384,70.98890688829412,97.67322862374982,136.0645513452599,140.3686434709114,140.3686434709114,1.2961281448994357,1.5642332529758805,0.8286028469062618
AJ12_20240809_1010028.jpg,127.09866851381513,105.88032017240052,86.16462710690372,115.74493958285231,133.15392903871316,141.6889863772801,141.6889863772801,1.2003993481174435,1.4750678010949563,0.8137926495954376
AJ12_20240809_101004.jpg,126.2667283318901,101.48730614815398,86.41200897425804,113.02603715657719,135.78026844052587,140.26609855939543,140.26609855939543,1.2441627616305007,1.4612173512629172,0.8514563190460006
AJ12_20240809_101010.jpg,136.26877854846896,106.74050499069531,87.90921586871934,119.38992979191339,137.2082346472678,143.0285484689562,143.0285484689562,1.2766360556726952,1.550107979598637,0.8235787815769066
AJ13_20240812_101101.jpg,89.74885572139303,67.45233830845771,53.159004975124375,77.49094527363184,134.82139303482586,139.56159203980098,139.56159203980098,1.3305521593695062,1.6883095173636389,0.7880972775759443
AJ13_20240812_101105.jpg,140.91096139839766,101.06330420004855,78.0711944646759,116.77725176013595,140.76678198591893,146.88820101966496,146.88820101966496,1.3942841184490566,1.8049033393135918,0.7724979339448558
AJ13_20240812_101109.jpg,126.64436502965773,88.11608886269019,64.98835795601076,103.61455992336883,140.63246509228898,147.21335150867628,147.21335150867628,1.437244494473206,1.9487238493801733,0.7375311144341631
AJ14_20240812_101530.jpg,119.49158675592545,93.74917073759121,77.0470417948254,105.62969664073337,135.59538025450817,140.99945721005972,140.99945721005972,1.274588186127005,1.550891279164717,0.8218423732903376
AJ14_20240812_101534.jpg,129.0655251798561,100.08658992805755,78.26040287769784,113.15510791366907,136.3761726618705,144.53303597122303,144.53303597122303,1.2895386283326273,1.649180412888674,0.7819269509733985
AJ14_20240812_101535.jpg,126.44975426797724,98.67330574236938,76.55315571650284,111.30305871702018,135.83545654423176,144.502942317641,144.502942317641,1.281499104901092,1.6517902029338263,0.775824366729484
AJ14_20240812_101543.jpg,132.57310139053087,98.39438720936779,75.03428474919777,112.9233800596746,138.42993863649158,146.27312390924956,146.27312390924956,1.347364456481361,1.7668336556658473,0.7625870348371556
AJ15_20240813_150029.jpg,133.74936016411058,108.56559538927421,95.76248901045228,121.09553580150434,135.8602129530136,138.59513529354302,138.59513529354302,1.2319681797218445,1.396677970147937,0.8820703076791019
AJ15_20240813_150031.jpg,140.10264586325243,114.62054864542512,97.43431589708639,126.76683786481026,135.29564540077405,140.8437796655551,140.8437796655551,1.2223169954834046,1.4379189009066884,0.8500597510524617
AJ15_20240813_150035.jpg,119.97525369414278,86.60210076553321,73.9319031511483,101.22351789211322,139.59907423891758,140.3346982374933,140.3346982374933,1.385361916723039,1.6227805177161712,0.8536964074071985
AJ15_20240813_150036.jpg,145.16657125013012,118.58233579681482,101.03838347038618,131.22434162589778,135.63880503799314,141.16688352243156,141.16688352243156,1.224183762703767,1.4367467572947752,0.8520525585822334
AJ16_20240812_102443.jpg,162.7935531496063,127.24816819772528,93.91035104986877,141.39099409448818,137.54746281714785,151.325322615923,151.325322615923,1.2793390598543595,1.7334995513930012,0.7380094475382639
AJ16_20240812_102451.jpg,135.02302845970019,103.62652074733869,69.55181403432545,116.21640777753639,136.29977731913968,151.25961329567673,151.25961329567673,1.302977521419779,1.941330048584112,0.6711777338614732
AJ16_20240812_102452.jpg,126.22847822147043,95.75989246662236,63.81187700114783,107.94324291669184,136.29037032562073,150.08004591312752,150.08004591312752,1.3181768865006942,1.978134513126222,0.6663737259000796
AJ16_20240812_102456.jpg,144.77364995602463,112.43009674582234,84.40879507475813,125.96985048372912,137.37479331574318,148.2004397537379,148.2004397537379,1.2876769909363892,1.715148855195178,0.7507668922034232
AJ17_20240813_150242.jpg,115.53793870489372,106.30060553633218,99.17504943153732,114.89254819574889,130.3509021255561,133.24715768660406,133.24715768660406,1.086898207541312,1.1649899667522938,0.9329678603258069
AJ17_20240813_150244.jpg,101.0805208898535,93.91296798697775,87.12284319045035,101.25404232230059,129.61025501899078,132.84248507867608,132.84248507867608,1.0763212150589088,1.1602068530831213,0.9276976772242295
AJ17_20240813_150248.jpg,140.7000113610543,131.3374517155192,121.21480913428766,139.24724494433084,129.860883890025,134.74412065439674,134.74412065439674,1.07128628165048,1.1607493441204089,0.9229264511231425
AJ18_20240813_150557.jpg,148.77494937259874,103.99718000643489,76.22081117398793,121.64205007854345,142.43948369513788,150.54247970172418,150.54247970172418,1.4305671358860506,1.9518940448048854,0.7329122812403128
AJ18_20240813_150602.jpg,136.34614620580055,88.43109356376638,63.954087206992455,107.04087206992452,144.69609157727453,149.95475764799363,149.95475764799363,1.5418348814791987,2.1319379265404503,0.72320813761811
AJ18_20240813_150607.jpg,140.96218694431948,102.87394219851319,78.19129335647106,118.27184694817576,140.12850011783104,147.81791888938878,147.81791888938878,1.3702418956791458,1.80278620662907,0.7600689827314906
AJ19_20240813_150932.jpg,126.8285623264916,102.44292995949574,81.12303736403769,113.7643016429254,134.53734128248306,143.40019569471625,143.40019569471625,1.2380411331323344,1.5634099126976913,0.791885165762315
AJ19_20240813_150933.jpg,153.2645684344686,125.8345960489981,100.19923174962827,138.4534270339163,135.00890391559867,145.93862847836863,145.93862847836863,1.2179843383993172,1.5295982237452532,0.7962772885950611
AJ19_20240813_150938.jpg,143.27444170294353,117.14434788074995,94.30774308120256,128.9986956043438,135.13889456397038,144.5871823482265,144.5871823482265,1.2230589274843584,1.5192224466696902,0.8050558476124658
AJ1_20240805_104118.jpg,124.2148028007437,103.92475968194944,87.3360496855097,113.777087701254,133.50152300328335,140.16333715732426,140.16333715732426,1.195237804596825,1.422262648995104,0.8403776839360959
AJ1_20240805_104121.jpg,144.4856719970703,117.89985656738281,99.66334533691406,130.22198486328125,136.01853942871094,142.2310028076172,142.2310028076172,1.2254948816583007,1.4497373137425411,0.8453220164405533
AJ1_20240805_104123.jpg,123.62815324430055,110.29259409146094,86.61641710508566,118.22548226089303,129.55534196681506,142.79249291784703,142.79249291784703,1.1209107296984082,1.4273062307230384,0.7853330228857011
AJ20_20240813_151213.jpg,90.1824352239863,66.40789706663519,49.12382694918255,76.29333648114266,135.30738358023962,141.6462255798855,141.6462255798855,1.3580076745313518,1.8358185627813437,0.7397286825716212
AJ20_20240813_151219.jpg,97.72757024265645,71.85911558109834,52.906130268199234,82.90022349936143,136.06856641123883,143.02977330779055,143.02977330779055,1.3599884731725536,1.8471879893701177,0.7362479917004093
AJ21_20240814_150024.jpg,155.51658263564457,121.93575095980388,82.80457005411907,134.93105601554188,136.33500624450716,153.7356491974652,153.7356491974652,1.2753977413196305,1.8781159138425183,0.6790836052859672
AJ21_20240814_150025.jpg,130.81477770274685,105.45857930163156,75.04504759622715,116.2924172784107,134.08626135447753,148.09946195569304,148.09946195569304,1.2404374999984995,1.7431500165531708,0.7116068449014207
AJ21_20240814_150026.jpg,138.31989357347524,110.2224109701187,75.97904216127712,121.73585755218993,134.8272206303725,150.45042979942693,150.45042979942693,1.2549162289333113,1.820500598827892,0.68932480067552
AJ21_20240814_150030.jpg,150.2004480794666,115.04855993737685,74.44473236699328,128.35905741355575,136.76049342726807,154.6314951278106,154.6314951278106,1.3055395639518135,2.0176101288323145,0.6470722602737724
AJ22_20240814_150338.jpg,123.51689221310177,106.68410293791399,94.29414001838177,116.51885716096726,132.81030329921086,137.35757297245902,137.35757297245902,1.1577815968251823,1.3099105721640043,0.8838630736708188
AJ22_20240814_150349.jpg,96.83974247433443,75.178110318427,61.54818165999652,85.42275970071341,134.76947972855402,139.2057769270924,139.2057769270924,1.288137474805089,1.573397268434309,0.818698163343063
AJ22_20240814_150401.jpg,109.09432646776864,85.23362286843098,75.20837811928071,96.64808412979694,136.14034221305522,137.43380879063417,137.43380879063417,1.2799447156696013,1.4505607984815725,0.8823792149841532
AJ23_20240814_150538.jpg,139.0651144617082,113.84085685391193,93.16125769973338,125.08982256136802,134.97770524960927,143.13689436425486,143.13689436425486,1.221574723551062,1.4927354610989834,0.8183464131944967
AJ23_20240814_150543.jpg,132.36760963927557,102.87187546774435,85.35748141495785,115.4366611784663,137.38878910342763,142.36281993713516,142.36281993713516,1.286723001312994,1.5507440694628523,0.8297455470419248
AJ23_20240814_150544.jpg,135.0780035583856,104.80316509036426,85.99338265130942,117.60979492461841,137.5042606985673,143.16677591534787,143.16677591534787,1.28887330981888,1.5707953079984285,0.8205227557454083
AJ24_20240816_095940.jpg,105.29759344598054,84.1747055811572,76.52493599590373,95.31981566820276,135.26646185355864,135.64075780849976,135.64075780849976,1.2509410216293142,1.3759905931267473,0.9091203177776697
AJ24_20240816_095943.jpg,98.89621756798999,89.8455767427321,81.89145045326664,97.71186308221318,130.12089715536106,133.7749296655205,133.7749296655205,1.100735506995947,1.20765007595973,0.911468905990658
AJ24_20240816_095944.jpg,102.32321859903382,85.31853864734299,77.5264694041868,95.03743961352657,133.5127314814815,135.03291062801932,135.03291062801932,1.1993081342223888,1.3198487957154295,0.9086708436951212
