image,mean_r,mean_g,mean_b,mean_l,mean_a,mean_b_lab,yellow_index,rg_ratio,rb_ratio,bg_ratio,yellow_ratio,label
AJ10_20240808_152222.jpg,159.10739818459314,140.15527351594505,135.1179211181621,149.3656518595871,134.26454601440545,133.27549736257262,133.27549736257262,1.1352223363273564,1.1775447378879316,0.9640587668556856,0.8922767370612291,1
AJ10_20240808_152224.jpg,170.08246876984967,151.8556796527631,142.1481844166843,160.7652180817277,133.16755769637942,135.52522231632437,135.52522231632437,1.120027041719726,1.1965152300135282,0.9360741975910919,0.8430008871970488,1
AJ10_20240808_152234.jpg,166.43651456358367,143.26182523699592,138.02134191266762,153.63689277469425,135.74610737266073,134.11434746303846,134.11434746303846,1.1617645742435965,1.2058752005397861,0.9634202322978974,0.8729306104021782,1
AJ10_20240808_152235.jpg,143.92797872962075,125.05747092853386,118.272161514638,133.52527318412902,133.88999590954245,134.236895927073,134.236895927073,1.1508946767440713,1.2169218493135057,0.9457424629711575,1.0053294909693475,1
AJ10_20240808_152246.jpg,139.70610044865404,121.40462986041874,117.29583125623131,130.1094217347956,134.0983923230309,132.71734795613162,132.71734795613162,1.1507477059032194,1.1910576681315308,0.9661561542169558,1.0200440918614464,1
AJ11_20240808_152529.jpg,167.49872100771694,138.19700780292771,128.35525891532856,149.94643279379204,137.4642204595774,137.3442531329937,137.3442531329937,1.2120285558899049,1.304961877824173,0.9287846388800374,0.9159554492764465,1
AJ11_20240808_152533.jpg,166.91287359613773,131.69289937196982,112.14164433443119,144.57095513777796,138.55753533948408,143.44708794468426,143.44708794468426,1.2674401818525391,1.4884111348497395,0.8515390276748738,0.992226182747089,1
AJ11_20240808_152534.jpg,167.65388860109462,136.1975044482984,118.29660577940945,147.98930156084597,137.18027433050293,141.87661884276673,141.87661884276673,1.2309615220136123,1.4172332847528155,0.868566611334271,0.9586950974678322,1
AJ11_20240808_152541.jpg,171.9767740456265,142.42042875157628,126.83141121173908,153.80999656081624,136.68059153960795,140.314822882036,140.314822882036,1.207528823958791,1.3559477975260528,0.8905422588105576,0.9122607444718002,1
AJ12_20240809_1010028.jpg,161.30309002763806,134.54977119296814,118.70719496171446,144.81267273798196,135.59439989126003,139.996579221603,139.996579221603,1.1988358463833066,1.3588316084870007,0.8822548936869798,0.966742589636229,1
AJ12_20240809_101004.jpg,152.2898084433699,126.65127394457876,111.22771061930445,136.9227822205691,135.5868328063976,139.90803421982517,139.90803421982517,1.202434073482563,1.369171461196715,0.878220220585829,1.0218024417050238,1
AJ12_20240809_101010.jpg,165.03465888361913,133.64820219708946,113.69751509992298,145.3075722566784,137.18472576918398,143.12424500385097,143.12424500385097,1.2348438283172758,1.4515238726814272,0.8507223619928101,0.9849744359230974,1
AJ13_20240812_101101.jpg,168.7637481043978,141.49634182031022,130.04368531673185,152.07449384095565,136.16926064862852,137.59337004815495,137.59337004815495,1.1927074915195168,1.2977465718201815,0.9190603991926323,0.9047761111556181,1
AJ13_20240812_101105.jpg,178.560100896581,140.19355160960015,116.96293798856172,153.1605604255638,139.0229514747384,145.43665243125795,145.43665243125795,1.2736684217841383,1.5266382876548878,0.8342961271141391,0.9495698571328385,1
AJ13_20240812_101109.jpg,173.0693647968712,135.91587019093447,114.2511809812581,149.0194230219937,138.8744973963483,144.57853800013183,144.57853800013183,1.2733565497567503,1.514814654830107,0.8406022047326479,0.9701992807245957,1
AJ14_20240812_101530.jpg,164.90115397296407,138.2558303110232,125.52087042532146,148.84490603363008,135.9039235080778,138.24833498186615,138.24833498186615,1.1927247654531041,1.3137349358753605,0.9078884357719935,0.9288079635175577,1
AJ14_20240812_101534.jpg,182.91560989191788,152.95509656516566,130.41268635937936,164.14053205761005,135.77482471460755,143.7676108031488,143.7676108031488,1.1958778282233302,1.4025906036876288,0.8526207261828445,0.8758812227854119,1
AJ14_20240812_101535.jpg,181.0349256481116,152.00979076194236,129.6503750493486,162.70556652191078,135.3912093696539,143.4849059086722,143.4849059086722,1.1909425277788985,1.3963316664751098,0.8529080498471434,0.8818684455241507,1
AJ14_20240812_101543.jpg,177.68309218091224,143.94562092755845,120.4330682253737,155.98069183595248,137.17247987734766,144.90171042545037,144.90171042545037,1.2343764944121218,1.4753679643288264,0.8366566944702383,0.9289720912949524,1
AJ15_20240813_150029.jpg,159.9592243875143,135.90703841568742,120.33362528282608,145.5126876383719,134.5759676909228,139.2805391333966,139.2805391333966,1.1769752698258733,1.3292977975379403,0.8854112767093082,0.9571710923405213,1
AJ15_20240813_150031.jpg,168.46423807329435,144.895297227814,127.0163469234314,154.42555358831947,134.0098712134074,140.27840702384128,140.27840702384128,1.1626618678021126,1.3263193346957887,0.876607788361275,0.9083885591203293,1
AJ15_20240813_150035.jpg,164.0304784645882,141.06676878716885,129.05059470174805,150.7523202378807,134.47089565687511,137.21298882681563,137.21298882681563,1.1627860956344667,1.2710555698920059,0.9148192369928799,0.9101882325931117,1
AJ15_20240813_150036.jpg,164.9544123076923,140.82808615384616,123.42168615384615,150.4720246153846,134.2847753846154,140.17464615384614,140.17464615384614,1.1713175662713475,1.3365107552133466,0.8763996490204077,0.9315661537789145,1
AJ16_20240812_102443.jpg,181.57253045630392,147.21873272941346,114.90350097316,159.32635701756493,136.55241848283154,149.72018646226303,149.72018646226303,1.2333520731813412,1.5802175507123966,0.7804951045452645,0.9397075808747045,1
